#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
1,0.645042,-3.710722,G,6462.92581,0.021558,,39,,44,14,7,5,,6,12,1,5
2,0.66625,8.737,G,5538.066077,0.018473,,30,,45,15,9,6,,4,5,1,3
3,0.693208,18.886222,G,7886.040608,0.026305,,38,1,43,15,12,7,,7,17,1,4
4,0.737417,4.208722,G,8631.024866,0.02879,,29,,46,13,10,6,,3,7,1,3
5,0.773583,-1.913806,G,7270.866484,0.024253,,109,3,64,23,15,7,,8,15,1,3
6,0.812042,16.145417,G,1051.072358,0.003506,,285,9,114,36,27,12,,20,35,20,9
7,0.895917,23.200778,G,7269.873571,0.02425,SPEC,104,2,60,25,20,7,,34,38,2,3
8,0.995458,20.752333,G,2309.900889,0.007705,,177,6,80,22,17,7,,23,43,6,9
9,1.005167,-51.394083,G,10496.033747,0.035011,,19,1,39,10,6,14,,3,4,3,1
10,1.062625,-50.646028,G,11872.081129,0.039601,,21,1,39,11,7,16,,3,6,3,
11,1.054349,10.790167,G,7975.078968,0.026602,,33,1,35,13,9,7,,3,7,1,3
12,1.06125,22.588611,G,4444.123397,0.014824,,31,1,27,10,8,4,,3,12,,2
13,1.104292,6.177667,G,5070.989427,0.016915,,23,,46,13,7,6,,4,8,1,2
14,1.120125,5.847111,G,3118.141356,0.010401,,40,1,27,16,13,7,,4,12,1,4
15,1.240792,5.123444,G,5356.991432,0.017869,,23,,34,8,5,7,,,3,1,1
16,1.275968,6.920112,G,6137.051408,0.020471,,64,1,45,19,16,7,,3,8,1,2
17,1.307875,6.772,G,6291.144731,0.020985,,70,2,46,23,18,6,,7,14,4,3
18,1.370917,-50.270306,G,10377.016141,0.034614,,35,2,44,13,13,17,,3,7,3,
19,1.371917,-49.620306,G,10684.902996,0.035641,,18,1,43,10,9,16,,3,6,3,1
20,1.392917,53.631333,G,9522.907428,0.031765,,23,,31,11,7,5,,2,5,1,1
21,1.451708,27.449417,G,7522.092564,0.025091,,59,,44,18,16,7,,21,22,1,3
22,1.48375,22.492583,G,6596.933038,0.022005,,27,1,39,13,9,7,,8,15,1,2
23,1.668208,5.113472,G,5371.081678,0.017916,,34,,41,15,12,7,,4,10,1,3
24,1.699333,4.937056,G,5285.041242,0.017629,,17,,39,11,7,3,,3,7,1,4
25,1.709833,19.321917,G,7894.135004,0.026332,,23,1,40,13,10,7,,3,10,1,3
26,1.719625,-50.415111,G,10097.009985,0.03368,,22,2,38,11,7,16,,4,6,3,1
27,1.798667,13.768194,G,5378,0.017939,,20,,9,9,6,,1,3,4,,3
28,1.816,27.708083,G,4549.950135,0.015177,,120,3,62,22,20,8,,16,32,2,4
