#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
1 0.645042 -3.710722 -328.3752  67.63890788 0.02155800  0.02267818
2 0.66625 8.737 -334.1010  58.52673506 0.01847300  0.01960929
3 0.693208 18.886222 -264.4296  81.07435434 0.02630500  0.02721104
4 0.737417 4.208722 -161.4762  87.38799205 0.02879000  0.02934443
5 0.773583 -1.913806 -307.8080  75.43038342 0.02425300  0.02530572
6 0.812042 16.145417 -294.7048  13.45738142 0.00350600  0.00449345
7 0.895917 23.200778 -281.2083  75.15162726 0.02425000  0.02521166
8 0.995458 20.752333 -76.0943  23.82318829 0.00770500  0.00796084
9 1.005167 -51.394083 -120.0589  105.35070742 0.03501100  0.03542566
10 1.062625 -50.646028 -64.8071  118.31602122 0.03960100  0.03982578
11 1.054349 10.790167 -173.0266  81.02640709 0.02660200  0.02719485
12 1.06125 22.588611  4.3796  44.24839023 0.01482400  0.01480917
13 1.104292 6.177667 -274.5832  53.28906358 0.01691500  0.01784726
14 1.120125 5.847111  7.0590  31.03729177 0.01040100  0.01037721
15 1.240792 5.123444 -324.8646  56.63640187 0.01786900  0.01897319
16 1.275968 6.920112 -350.9987  64.63843315 0.02047100  0.02166717
17 1.307875 6.772 -356.0155  66.21667286 0.02098500  0.02219890
18 1.370917 -50.270306 -72.6902  103.69652997 0.03461400  0.03486492
19 1.371917 -49.620306 -69.9509  106.69866531 0.03564100  0.03588270
20 1.392917 53.631333 -154.2071  96.11265281 0.03176500  0.03229599
21 1.451708 27.449417 -336.4610  78.20673328 0.02509100  0.02624277
22 1.48375 22.492583 -285.3149  68.53015207 0.02200500  0.02297858
23 1.668208 5.113472 -324.8646  56.77624414 0.01791600  0.01902024
24 1.699333 4.937056 -324.8646  55.92226658 0.01762900  0.01873293
25 1.709833 19.321917 -264.4296  81.15436883 0.02633200  0.02723807
26 1.719625 -50.415111 -0.5743  100.20543172 0.03368000  0.03368198
27 1.798667 13.768194 -328.6106  56.88256193 0.01793900  0.01905601
28 1.816 27.708083 -67.0854  46.02010445 0.01517700  0.01540422
29 1.821292 27.678361 -336.4610  78.45287004 0.02517400  0.02632586
30 1.831375 32.60925 -318.4247  53.76192098 0.01692500  0.01800628
31 2.006825 33.070772 -177.6652  50.65209789 0.01635800  0.01696068
32 2.042792 27.00425 -301.1547  90.22865578 0.02927000  0.03030499
33 2.045625 27.528139 -67.0854  46.88358249 0.01546700  0.01569428
34 2.078083 -59.515611  102.5432  76.36817686 0.02597300  0.02562219
35 2.087333 -29.915 -336.0908  18.30685361 0.00498700  0.00611493
36 2.143917 -33.858333  28.4973  67.40335318 0.02269600  0.02259879
37 2.167208 -50.619389  31.0240  99.18420401 0.03344300  0.03333607
38 2.205042 24.540333  4.3796  45.59719781 0.01527700  0.01526217
39 2.198833 33.433333 -177.6652  49.72926002 0.01604800  0.01665050
40 2.268375 25.618611  4.3796  43.17331261 0.01446300  0.01444818
41 2.264292 -32.914139  28.2248  68.25756725 0.02298300  0.02288670
42 2.450792 27.832306 -242.3346  85.05961873 0.02772600  0.02855743
